input_data,target_data
অক্ষম পুরু*ের,অক্ষম পুরুষের
অ-ক-্-ষ-ম- -প-ু-র-ু-ষ-ে-র,অক্ষম পুরুষের
অ/ক/্/ষ/ম/ /প/ু/র/ু/ষ/ে/র,অক্ষম পুরুষের
অক্** প*রু*ের,অক্ষম পুরুষের
অ*িও সেক্স,অডিও সেক্স
অ-ড-ি-ও- -স-ে-ক-্-স,অডিও সেক্স
অ/ড/ি/ও/ /স/ে/ক/্/স,অডিও সেক্স
অডিও সেক্*,অডিও সেক্স
অনৈ*লামিক কাজ,অনৈসলামিক কাজ
অ-ন-ৈ-স-ল-া-ম-ি-ক- -ক-া-জ,অনৈসলামিক কাজ
অ/ন/ৈ/স/ল/া/ম/ি/ক/ /ক/া/জ,অনৈসলামিক কাজ
অনৈসল*মিক *াজ,অনৈসলামিক কাজ
অন*ডকোষ কাটলেই,অন্ডকোষ কাটলেই
অ-ন-্-ড-ক-ো-ষ- -ক-া-ট-ল-ে-ই,অন্ডকোষ কাটলেই
অ/ন/্/ড/ক/ো/ষ/ /ক/া/ট/ল/ে/ই,অন্ডকোষ কাটলেই
*ন*ডক*ষ *া**ে*,অন্ডকোষ কাটলেই
অ*্ডকোষ হীন,অন্ডকোষ হীন
অ-ন-্-ড-ক-ো-ষ- -হ-ী-ন,অন্ডকোষ হীন
অ/ন/্/ড/ক/ো/ষ/ /হ/ী/ন,অন্ডকোষ হীন
অ*্ডকোষ*হী*,অন্ডকোষ হীন
অবৈধ *ালিম,অবৈধ জালিম
অ-ব-ৈ-ধ- -জ-া-ল-ি-ম,অবৈধ জালিম
অ/ব/ৈ/ধ/ /জ/া/ল/ি/ম,অবৈধ জালিম
*ব*ধ*জ*লি*,অবৈধ জালিম
অ*ৈধ পোলা,অবৈধ পোলা
অ-ব-ৈ-ধ- -প-ো-ল-া,অবৈধ পোলা
অ/ব/ৈ/ধ/ /প/ো/ল/া,অবৈধ পোলা
*বৈধ**োল*,অবৈধ পোলা
অবৈধ প*রেম,অবৈধ প্রেম
অ-ব-ৈ-ধ- -প-্-র-ে-ম,অবৈধ প্রেম
অ/ব/ৈ/ধ/ /প/্/র/ে/ম,অবৈধ প্রেম
*বৈ**প*র*ম,অবৈধ প্রেম
অবৈধ*ফসল,অবৈধ ফসল
অ-ব-ৈ-ধ- -ফ-স-ল,অবৈধ ফসল
অ/ব/ৈ/ধ/ /ফ/স/ল,অবৈধ ফসল
অবৈ* ফ*ল,অবৈধ ফসল
অবৈধ সন্*ান,অবৈধ সন্তান
অ-ব-ৈ-ধ- -স-ন-্-ত-া-ন,অবৈধ সন্তান
অ/ব/ৈ/ধ/ /স/ন/্/ত/া/ন,অবৈধ সন্তান
**ৈ* স*্ত*ন,অবৈধ সন্তান
অবৈধ স*্তানদের,অবৈধ সন্তানদের
অ-ব-ৈ-ধ- -স-ন-্-ত-া-ন-দ-ে-র,অবৈধ সন্তানদের
অ/ব/ৈ/ধ/ /স/ন/্/ত/া/ন/দ/ে/র,অবৈধ সন্তানদের
অ*ৈধ সন্তানদ*র,অবৈধ সন্তানদের
অ*ৈধ সন্তানরা,অবৈধ সন্তানরা
অ-ব-ৈ-ধ- -স-ন-্-ত-া-ন-র-া,অবৈধ সন্তানরা
অ/ব/ৈ/ধ/ /স/ন/্/ত/া/ন/র/া,অবৈধ সন্তানরা
অবৈধ সন্তা*রা,অবৈধ সন্তানরা
অবৈধ সন্*ানেরা,অবৈধ সন্তানেরা
অ-ব-ৈ-ধ- -স-ন-্-ত-া-ন-ে-র-া,অবৈধ সন্তানেরা
অ/ব/ৈ/ধ/ /স/ন/্/ত/া/ন/ে/র/া,অবৈধ সন্তানেরা
অব** সন্তানেরা,অবৈধ সন্তানেরা
অমা*ুষের দল,অমানুষের দল
অ-ম-া-ন-ু-ষ-ে-র- -দ-ল,অমানুষের দল
অ/ম/া/ন/ু/ষ/ে/র/ /দ/ল,অমানুষের দল
*মানুষে**দ*,অমানুষের দল
অমানুষের*বাচ্চা,অমানুষের বাচ্চা
অ-ম-া-ন-ু-ষ-ে-র- -ব-া-চ-্-চ-া,অমানুষের বাচ্চা
অ/ম/া/ন/ু/ষ/ে/র/ /ব/া/চ/্/চ/া,অমানুষের বাচ্চা
